"date","city","SO2","CO","NO2","O3","PM10","SO2_d1_rate","SO2_d2_rate","SO2_d3_rate","SO2_d4_rate","CO_d1_rate","CO_d2_rate","CO_d3_rate","CO_d4_rate","O3_d1_rate","O3_d2_rate","O3_d3_rate","O3_d4_rate","NO2_d1_rate","NO2_d2_rate","NO2_d3_rate","NO2_d4_rate","PM10_d1_rate","PM10_d2_rate","PM10_d3_rate","PM10_d4_rate","temp","temp_range","rain","ws_mean","ws_max","ws_mont_max","dew_point_temp","humidity","air_press","sunshn_time","snow","cloud_amt","surface_temp"
"2010-01-01","서울",0.007,0.6,0.037,0.006,34,0.142857142857143,-0.285714285714286,0.142857142857143,0.142857142857143,0.166666666666667,-0.166666666666667,-0.333333333333333,0,-2,-0.833333333333333,0.5,0,0.405405405405405,0.216216216216216,-0.351351351351351,0.0540540540540539,-0.147058823529412,-2.23529411764706,-0.529411764705882,-0.705882352941177,-7.6,9.1,0,1.9,3.4,7.5,-16.9,48,1010.6,7.3,2.2,3.8,-4.6
"2010-01-02","서울",0.007,0.6,0.035,0.007,46,0,0.142857142857143,-0.285714285714286,0.142857142857143,0,0.166666666666667,-0.166666666666667,-0.333333333333333,0.142857142857143,-1.57142857142857,-0.571428571428571,0.571428571428571,-0.057142857142857,0.371428571428572,0.171428571428571,-0.428571428571428,0.260869565217391,0.152173913043478,-1.39130434782609,-0.130434782608696,-3.6,7.6,1.4,2.8,5,7.2,-7.2,76.4,1006.2,0.8,3.5,6,-1.7
"2010-01-03","서울",0.007,0.6,0.033,0.014,48,0,0,0.142857142857143,-0.285714285714286,0,0,0.166666666666667,-0.166666666666667,0.5,0.571428571428571,-0.285714285714286,0.214285714285714,-0.0606060606060607,-0.121212121212121,0.333333333333333,0.121212121212121,0.0416666666666667,0.291666666666667,0.1875,-1.29166666666667,-6.8,7.3,0,2.2,5.1,7.2,-15.9,49.3,1010.7,8.2,3.2,2.6,-3.3
"2010-01-04","서울",0.005,0.6,0.038,0.008,38,-0.4,-0.4,-0.4,-0.2,0,0,0,0.166666666666667,-0.75,0.125,0.25,-1.25,0.131578947368421,0.0789473684210525,0.0263157894736842,0.421052631578947,-0.263157894736842,-0.210526315789474,0.105263157894737,-0.0263157894736842,-5.9,4.6,14.2,3,4.9,7.9,-8.1,84.1,1002.4,0.1,28.5,7.5,-1.9
"2010-01-05","서울",0.006,0.5,0.026,0.02,49,0.166666666666667,-0.166666666666667,-0.166666666666667,-0.166666666666667,-0.2,-0.2,-0.2,-0.2,0.6,0.3,0.65,0.7,-0.461538461538462,-0.269230769230769,-0.346153846153846,-0.423076923076923,0.224489795918367,0.0204081632653061,0.0612244897959184,0.306122448979592,-9.9,5.3,0,2.9,4.8,7.6,-15,66.4,1011.4,7.5,25.6,2.1,-0.7
"2010-01-06","서울",0.005,0.5,0.036,0.014,37,-0.2,0,-0.4,-0.4,0,-0.2,-0.2,-0.2,-0.428571428571429,0.428571428571429,0,0.5,0.277777777777778,-0.0555555555555556,0.0833333333333332,0.0277777777777776,-0.324324324324324,-0.027027027027027,-0.297297297297297,-0.243243243243243,-11.2,5.2,0,1.9,4.1,6.6,-16.4,65.5,1014.4,9,21.5,1.3,-0.9
"2010-01-07","서울",0.007,0.8,0.057,0.005,62,0.285714285714286,0.142857142857143,0.285714285714286,0,0.375,0.375,0.25,0.25,-1.8,-3,-0.6,-1.8,0.368421052631579,0.543859649122807,0.333333333333333,0.421052631578947,0.403225806451613,0.209677419354839,0.387096774193548,0.225806451612903,-10.1,8.1,0,1.7,3.8,5.5,-15.3,66.8,1015.5,8.8,17.1,0,-1
"2010-01-08","서울",0.008,1.1,0.068,0.004,79,0.125,0.375,0.25,0.375,0.272727272727273,0.545454545454546,0.545454545454546,0.454545454545455,-0.25,-2.5,-4,-1,0.161764705882353,0.470588235294118,0.61764705882353,0.441176470588235,0.215189873417722,0.531645569620253,0.379746835443038,0.518987341772152,-8,8.5,0,1.7,4,5.8,-13.1,67.4,1013.9,7.4,16.5,1.4,-1
"2010-01-09","서울",0.007,1.2,0.074,0.003,82,-0.142857142857143,0,0.285714285714286,0.142857142857143,0.0833333333333332,0.333333333333333,0.583333333333333,0.583333333333333,-0.333333333333333,-0.666666666666667,-3.66666666666667,-5.66666666666667,0.081081081081081,0.22972972972973,0.513513513513513,0.648648648648649,0.0365853658536585,0.24390243902439,0.548780487804878,0.402439024390244,-5.1,6.8,0.4,1.5,2.9,4.8,-8.8,75.8,1014.7,0,15.5,7.8,-0.8
"2010-01-10","서울",0.008,1,0.064,0.003,70,0.125,0,0.125,0.375,-0.2,-0.1,0.2,0.5,0,-0.333333333333333,-0.666666666666667,-3.66666666666667,-0.15625,-0.0625000000000001,0.109375,0.4375,-0.171428571428571,-0.128571428571429,0.114285714285714,0.471428571428571,-3.4,5,0,1.7,3.6,5.7,-6.5,79.1,1016.2,2,15.5,4.1,-0.4
"2010-01-11","서울",0.008,1,0.054,0.005,73,0,0.125,0,0.125,0,-0.2,-0.1,0.2,0.4,0.4,0.2,0,-0.185185185185185,-0.37037037037037,-0.259259259259259,-0.0555555555555556,0.0410958904109589,-0.123287671232877,-0.0821917808219178,0.150684931506849,-5.2,7,0,2.3,4.2,6.8,-9,75.1,1013.1,0.7,14.3,5.4,-0.6
